iter	Logloss
0	0.627452927
1	0.59081113
2	0.5581944614
3	0.5277504922
4	0.5102028328
5	0.4931665904
6	0.4812386382
7	0.4679954699
8	0.4592749991
9	0.4528584334
10	0.4460603064
11	0.4428572969
12	0.4392047974
13	0.4354828415
14	0.4343502856
15	0.430711596
16	0.4275904907
17	0.426064107
18	0.4247545545
19	0.4227593051
20	0.4208503723
21	0.4178405166
22	0.4169607029
23	0.4154153296
24	0.4151800668
25	0.414408926
26	0.4136613532
27	0.4124477026
28	0.4116259407
29	0.411327493
30	0.4109706882
31	0.4096971343
32	0.4095366738
33	0.4088811784
34	0.408694073
35	0.4085267402
36	0.4076488019
37	0.4068742793
38	0.4067364161
39	0.4065325079
40	0.4063876211
41	0.406302813
42	0.4061940382
43	0.4059702019
44	0.4049251427
45	0.4037921146
46	0.4035930294
47	0.4034394779
48	0.4029740509
49	0.4028074907
50	0.4026950531
51	0.4025477883
52	0.4024080408
53	0.4022832359
54	0.4021958227
55	0.4020321448
56	0.4018880455
57	0.4017905088
58	0.4010974046
59	0.4005220976
60	0.4003804282
61	0.4002165754
62	0.4000449714
63	0.3999652664
64	0.3997807172
65	0.3996015095
66	0.3994205373
67	0.3992665782
68	0.3991562272
69	0.3990374269
70	0.3989114949
71	0.3987872033
72	0.3986172137
73	0.3984934865
74	0.3983298964
75	0.3981800561
76	0.3980815047
77	0.3979776951
78	0.3977524941
79	0.3975653442
80	0.3974325067
81	0.3972189869
82	0.3969676094
83	0.3968049954
84	0.3965762763
85	0.3963565363
86	0.3961679636
87	0.3959993094
88	0.3957981057
89	0.3949319381
90	0.3945879974
91	0.3943483705
92	0.3940826948
93	0.3938340902
94	0.393590238
95	0.3933345357
96	0.3930667641
97	0.3927960988
98	0.3925597962
99	0.3923017296
100	0.3920557948
101	0.3918014168
102	0.3915227108
103	0.3912623905
104	0.3909988507
105	0.3898272118
106	0.3895912741
107	0.3893364693
108	0.3890824083
109	0.3888211909
110	0.3885733188
111	0.386673198
112	0.3864392806
113	0.3861039566
114	0.3858643734
115	0.3856297925
116	0.3853848866
117	0.3851444391
118	0.3849081765
119	0.3846757771
120	0.3844477844
121	0.3842193475
122	0.3839921977
123	0.3837579701
124	0.3835337431
125	0.3833126124
126	0.3830956902
127	0.3828814186
128	0.3826680129
129	0.3824546582
130	0.3822431596
131	0.381179826
132	0.380967881
133	0.3807171686
134	0.3805077041
135	0.3802997254
136	0.3800928838
137	0.3798876797
138	0.3785386731
139	0.3783335668
140	0.3781300411
141	0.3779286243
142	0.3777280969
143	0.3775283132
144	0.3773299061
145	0.3771319547
146	0.3769343996
147	0.3767374883
148	0.3765415428
149	0.3763469747
150	0.3761526872
151	0.3759596142
152	0.3757684739
153	0.3755779163
154	0.3752966955
155	0.3751070687
156	0.3749183684
157	0.3747305126
158	0.3745425935
159	0.3743556631
160	0.3741699217
161	0.3739856417
162	0.3738021769
163	0.3736196456
164	0.3734369479
165	0.3732551172
166	0.3730735117
167	0.372892969
168	0.3727132438
169	0.3725339869
170	0.3723554257
171	0.3721784778
172	0.3720007591
173	0.371823833
174	0.3716491629
175	0.3714741938
176	0.3712997183
177	0.3711264968
178	0.3709544539
179	0.3707817369
180	0.370609367
181	0.3703119307
182	0.3701398626
183	0.3699696026
184	0.3697985975
185	0.3696280109
186	0.3684515381
187	0.3682784714
188	0.3681075072
189	0.3679375871
190	0.3677735079
191	0.3676062267
192	0.3674391014
193	0.367272399
194	0.367106363
195	0.3669411875
196	0.3667754519
197	0.3666111171
198	0.3664459502
199	0.3662227673
200	0.3660581722
201	0.3658948298
202	0.3657311486
203	0.365568062
204	0.3654059436
205	0.3652444822
206	0.3650825615
207	0.364921596
208	0.3647612489
209	0.3646014719
210	0.3644425532
211	0.3642837442
212	0.3641259757
213	0.3639681316
214	0.3638108825
215	0.3636540531
216	0.3622931426
217	0.3621335677
218	0.3619753663
219	0.3618178789
220	0.3616607908
221	0.3615045543
222	0.3613486781
223	0.3611997138
224	0.3610447061
225	0.3608905122
226	0.3596486525
227	0.3594936316
228	0.3593391196
229	0.3591853214
230	0.3590319464
231	0.3588786174
232	0.3587258114
233	0.3585735241
234	0.3584220678
235	0.3582708621
236	0.3581194145
237	0.3579689735
238	0.3578187808
239	0.3576690841
240	0.357519091
241	0.3573098025
242	0.3571597176
243	0.357010033
244	0.3568608379
245	0.356713413
246	0.3565645664
247	0.3564163643
248	0.3562681134
249	0.3561218076
250	0.3559751374
251	0.3558299623
252	0.3556849646
253	0.3555394845
254	0.3553946909
255	0.3552501038
256	0.3551057779
257	0.3549616144
258	0.3548177443
259	0.354674145
260	0.3545307142
261	0.3543883009
262	0.3542453747
263	0.3537617149
264	0.3536168981
265	0.3534735141
266	0.3533303148
267	0.353188121
268	0.3530465344
269	0.3529051669
270	0.3527640726
271	0.3526230985
272	0.3524827452
273	0.3523424161
274	0.3522024567
275	0.3520626238
276	0.3519230367
277	0.3517837223
278	0.35164453
279	0.3515065694
280	0.3513688312
281	0.3512305315
282	0.3505453685
283	0.3504068811
284	0.3502683834
285	0.350129938
286	0.3499921326
287	0.3498546494
288	0.3497177534
289	0.3495813284
290	0.3494454798
291	0.3493094518
292	0.3491739177
293	0.3490380477
294	0.3489024485
295	0.3487686559
296	0.3476830405
297	0.3475445431
298	0.3474084465
299	0.3472737297
