iter	Passed	Remaining
0	59	17673
1	69	10310
2	79	7882
3	90	6675
4	100	5937
5	110	5436
6	120	5059
7	130	4778
8	140	4557
9	151	4404
10	161	4242
11	171	4113
12	181	4002
13	191	3910
14	201	3825
15	211	3754
16	221	3689
17	231	3633
18	242	3582
19	252	3536
20	263	3495
21	273	3449
22	282	3407
23	292	3362
24	302	3326
25	312	3294
26	322	3264
27	333	3236
28	343	3209
29	353	3183
30	364	3161
31	374	3138
32	385	3116
33	395	3090
34	404	3066
35	415	3048
36	426	3029
37	436	3011
38	446	2991
39	457	2971
40	467	2953
41	477	2935
42	488	2919
43	498	2901
44	509	2885
45	519	2868
46	529	2852
47	540	2835
48	550	2821
49	561	2805
50	570	2785
51	581	2772
52	591	2755
53	601	2739
54	611	2725
55	622	2711
56	632	2695
57	642	2680
58	652	2664
59	662	2651
60	673	2637
61	683	2621
62	693	2607
63	703	2593
64	713	2579
65	723	2566
66	734	2552
67	744	2540
68	754	2527
69	765	2514
70	775	2500
71	785	2487
72	795	2474
73	805	2460
74	815	2445
75	825	2433
76	836	2421
77	846	2408
78	856	2396
79	866	2382
80	875	2368
81	886	2356
82	896	2344
83	907	2332
84	917	2319
85	927	2307
86	937	2296
87	947	2283
88	958	2271
89	969	2261
90	979	2248
91	989	2237
92	999	2225
93	1010	2213
94	1020	2202
95	1030	2190
96	1041	2179
97	1051	2167
98	1061	2155
99	1071	2143
100	1081	2131
101	1091	2119
102	1102	2108
103	1111	2095
104	1121	2083
105	1132	2072
106	1142	2061
107	1153	2050
108	1164	2039
109	1174	2028
110	1184	2016
111	1194	2005
112	1205	1994
113	1215	1983
114	1226	1972
115	1236	1961
116	1246	1950
117	1256	1937
118	1267	1927
119	1277	1916
120	1288	1905
121	1297	1893
122	1308	1882
123	1318	1871
124	1328	1860
125	1339	1849
126	1348	1837
127	1358	1825
128	1368	1814
129	1379	1803
130	1388	1791
131	1398	1780
132	1408	1769
133	1419	1758
134	1429	1746
135	1439	1736
136	1450	1725
137	1460	1714
138	1470	1703
139	1480	1692
140	1490	1681
141	1500	1669
142	1510	1658
143	1520	1647
144	1530	1635
145	1540	1625
146	1550	1614
147	1561	1603
148	1571	1592
149	1581	1581
150	1591	1570
151	1601	1559
152	1612	1548
153	1622	1538
154	1635	1529
155	1645	1519
156	1655	1507
157	1666	1497
158	1677	1487
159	1688	1477
160	1698	1466
161	1708	1455
162	1719	1445
163	1730	1434
164	1740	1424
165	1750	1413
166	1761	1403
167	1771	1392
168	1782	1381
169	1793	1371
170	1804	1360
171	1815	1350
172	1825	1339
173	1835	1329
174	1845	1318
175	1855	1307
176	1865	1296
177	1875	1285
178	1885	1274
179	1895	1263
180	1905	1252
181	1915	1242
182	1925	1231
183	1935	1220
184	1945	1209
185	1956	1199
186	1967	1189
187	1977	1177
188	1987	1167
189	1997	1156
190	2007	1145
191	2017	1135
192	2029	1125
193	2039	1114
194	2051	1104
195	2062	1094
196	2073	1083
197	2084	1074
198	2095	1063
199	2106	1053
200	2117	1042
201	2128	1032
202	2140	1022
203	2150	1012
204	2160	1001
205	2170	990
206	2181	979
207	2191	969
208	2201	958
209	2210	947
210	2221	936
211	2231	926
212	2241	915
213	2251	904
214	2261	894
215	2271	883
216	2281	872
217	2291	862
218	2301	851
219	2310	840
220	2320	829
221	2331	819
222	2341	808
223	2351	797
224	2361	787
225	2372	776
226	2382	766
227	2393	755
228	2403	745
229	2414	734
230	2424	724
231	2435	713
232	2445	703
233	2457	693
234	2468	682
235	2479	672
236	2489	661
237	2500	651
238	2511	640
239	2521	630
240	2533	620
241	2543	609
242	2554	599
243	2565	588
244	2576	578
245	2586	567
246	2596	557
247	2607	546
248	2616	535
249	2627	525
250	2637	514
251	2647	504
252	2657	493
253	2667	483
254	2678	472
255	2688	462
256	2698	451
257	2708	440
258	2718	430
259	2728	419
260	2739	409
261	2749	398
262	2759	388
263	2769	377
264	2779	367
265	2789	356
266	2799	345
267	2809	335
268	2819	324
269	2829	314
270	2839	303
271	2849	293
272	2859	282
273	2869	272
274	2879	261
275	2889	251
276	2900	240
277	2910	230
278	2920	219
279	2931	209
280	2941	198
281	2951	188
282	2962	177
283	2972	167
284	2982	156
285	2996	146
286	3007	136
287	3018	125
288	3028	115
289	3039	104
290	3049	94
291	3060	83
292	3071	73
293	3081	62
294	3092	52
295	3102	41
296	3114	31
297	3125	20
298	3136	10
299	3146	0
